"LabID","parID"
"CEBL_69","brand_10"
"CEBL_106","brand_11"
"CEBL_290","brand_12"
"CEBL_314","brand_15"
"CEBL_289","brand_17"
"CEBL_59","brand_18"
"CEBL_257","brand_19"
"CEBL_258","brand_20"
"CEBL_183","brand_21"
"CEBL_107","brand_22"
"CEBL_239","brand_23"
"CEBL_224","brand_24"
"CEBL_204","brand_25"
"CEBL_328","brand_26"
"CEBL_178","brand_28"
"CEBL_200","brand_2"
"CEBL_9","brand_3"
"CEBL_187","brand_4"
"CEBL_312","brand_6"
"CEBL_84","brand_7"
"CEBL_153","brand_8"
"CEBL_181","brand_9"
"CEBL_37","cceb_AGB13_toy"
"CEBL_67","cceb_AGC24_food"
"CEBL_64","cceb_AJC28_food"
"CEBL_51","cceb_ARB11_toy"
"CEBL_208","cceb_CJM29_toy"
"CEBL_170","cceb_CMK14_food"
"CEBL_15","cceb_CWB26_food"
"CEBL_242","cceb_DNO3_toy"
"CEBL_169","cceb_EAJ23_toy"
"CEBL_285","cceb_EAS21_food"
"CEBL_313","cceb_ECW24_food"
"CEBL_115","cceb_EKF02_toy"
"CEBL_134","cceb_EKH14_food"
"CEBL_216","cceb_EMM29_food"
"CEBL_122","cceb_ENG25_food"
"CEBL_81","cceb_FEC25_food"
"CEBL_82","cceb_GEC06_food"
"CEBL_215","cceb_HBM18_toy"
"CEBL_301","cceb_ICT06_toy"
"CEBL_304","cceb_JCT01_toy"
"CEBL_311","cceb_JEV24_toy"
"CEBL_210","cceb_JJM26_food"
"CEBL_168","cceb_JTJ21_toy"
"CEBL_271","cceb_KAS25_food"
"CEBL_58","cceb_LGC01_toy"
"CEBL_121","cceb_LPF06_food"
"CEBL_151","cceb_LRH27_food"
"CEBL_89","cceb_MCC07_toy"
"CEBL_193","cceb_MEL22_toy"
"CEBL_261","cceb_MVR04_food"
"CEBL_249","cceb_RP21_toy"
"CEBL_19","cceb_SB16_food"
"CEBL_104","cceb_SGD09_toy"
"CEBL_231","cceb_SJN24_food"
"CEBL_302","cceb_TCT06_toy"
"CEBL_56","cceb_ZJC01_food"
"CEBL_256","dmk_101"
"CEBL_159","dmk_103"
"CEBL_99","dmk_107"
"CEBL_111","dmk_109"
"CEBL_167","dmk_112"
"CEBL_173","dmk_113"
"CEBL_63","dmk_115"
"CEBL_236","dmk_118"
"CEBL_196","dmk_119"
"CEBL_218","dmk_120"
"CEBL_223","dmk_122"
"CEBL_226","dmk_123"
"CEBL_102","dmk_129"
"CEBL_2","dmk_131"
"CEBL_248","dmk_133"
"CEBL_286","dmk_134"
"CEBL_329","dmk_136"
"CEBL_292","dmk_140"
"CEBL_65","dmk_141"
"CEBL_207","dmk_143"
"CEBL_53","dmk_144"
"CEBL_250","dmk_146"
"CEBL_140","dmk_147"
"CEBL_41","dmk_149"
"CEBL_55","dmk_155"
"CEBL_252","dmk_156"
"CEBL_143","dmk_159"
"CEBL_260","dmk_160"
"CEBL_149","dmk_162"
"CEBL_4","dmk_171"
"CEBL_33","port_1011"
"CEBL_152","port_1012"
"CEBL_112","port_1041"
"CEBL_264","port_1051"
"CEBL_211","port_1061"
"CEBL_298","port_1071"
"CEBL_299","port_1072"
"CEBL_86","port_1111"
"CEBL_30","port_1121"
"CEBL_180","port_1131"
"CEBL_52","port_1151"
"CEBL_57","port_1161"
"CEBL_1","port_1171"
"CEBL_25","port_1181"
"CEBL_105","port_1191"
"CEBL_282","port_1211"
"CEBL_103","port_1241"
"CEBL_203","port_1251"
"CEBL_68","port_1261"
"CEBL_176","port_1271"
"CEBL_240","port_1281"
"CEBL_184","port_1291"
"CEBL_272","port_1311"
"CEBL_174","port_1331"
"CEBL_189","port_1341"
"CEBL_259","port_1351"
"CEBL_287","port_1381"
"CEBL_280","port_1401"
"CEBL_209","port_1411"
"CEBL_278","port_1421"
"CEBL_307","port_1431"
"CEBL_66","port_1441"
"CEBL_5","port_1451"
"CEBL_326","port_1461"
"CEBL_199","port_1481"
"CEBL_110","port_1491"
"CEBL_155","port_1511"
"CEBL_62","trt_101A"
"CEBL_270","trt_103B"
"CEBL_109","trt_104A"
"CEBL_303","trt_106A"
"CEBL_74","trt_110B"
"CEBL_76","trt_112A"
"CEBL_98","trt_113B"
"CEBL_78","trt_114A"
"CEBL_50","trt_117A"
"CEBL_158","trt_118A"
"CEBL_306","trt_120B"
"CEBL_182","trt_121B"
"CEBL_336","trt_122A"
"CEBL_338","trt_124B"
"CEBL_341","trt_130A"
"CEBL_342","trt_131B"
"CEBL_343","trt_132A"
"CEBL_344","trt_133B"
"CEBL_345","trt_134B"
"CEBL_346","trt_135B"
"CEBL_347","trt_136A"
"CEBL_348","trt_137B"
"CEBL_349","trt_138A"
"CEBL_350","trt_139A"
